Layer,Name,GEOID,Population,Longitude,Latitude,HCSNS_2022-2023,HCSNSP_2022-2023,HCSTLE_2022-2023,HCSTLEP_2022-2023,HCSTLG_2022-2023,HCSTLGP_2022-2023,UMP_2018-2022,INC_2018-2022,POV_2018-2022
,,,,,,"Perceived neighborhood safety (count of adults), 2022-2023","Perceived neighborhood safety rate (% of adults), 2022-2023","Trust in law enforcement (counts of adults), 2022-2023","Trust in law enforcement rate (% of adults), 2022-2023","Trust in local government (counts of adults), 2022-2023","Trust in local government rate (% of adults), 2022-2023","Unemployment rate (%), 2018-2022","Median household income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Community area,Rogers Park,1,55454,-87.67017100,42.00963000,27300.0,60.700015596,19600.0,43.640613186,19600.0,43.475974529,5.730761428438949,53437.61017481718,19.98346632039768
Community area,Norwood Park,10,41069,-87.80345100,41.98524800,21900.0,77.766412855,21800.0,77.388891163,12700.0,45.17355921,4.030903836155259,98470.72342275747,7.078679567611825
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,17900.0,79.263826467,13600.0,60.079924773,8000.0,35.553800192,5.959054974385497,85018.7956798118,8.798697261615647
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,13400.0,94.582335434,12500.0,88.719634075,7600.0,53.701754714,4.536269414947149,130092.48566295506,3.860948224483862
Community area,North Park,13,17522,-87.72357800,41.98365100,11500.0,87.16669581,7700.0,58.481791305,8300.0,62.455295345,3.7461213040012207,65645.26518206015,14.419894409291619
Community area,Albany Park,14,48549,-87.72155800,41.96807800,26500.0,55.768261598,22300.0,46.974343983,19600.0,41.349277761,6.426612271181117,72881.24120324591,13.388062239054806
Community area,Portage Park,15,63038,-87.76340100,41.95404300,38500.0,72.929773112,31400.0,59.575907417,22500.0,42.688216923,5.357157001053547,79293.21061915808,9.794777713420007
Community area,Irving Park,16,51911,-87.72345700,41.95358900,26300.0,80.989105711,19800.0,60.812041159,12800.0,39.220958807,6.0002984669850425,81726.82719039213,8.701739893915583
Community area,Dunning,17,43120,-87.80601500,41.94652200,27500.0,81.367738772,24100.0,71.216958775,13900.0,40.959254743,5.160218872203616,77315.51083315052,7.749238796699321
Community area,Montclare,18,14412,-87.79803300,41.92930600,11600.0,73.837639058,11800.0,75.303814739,5900.0,37.851582709,4.17681773729763,67104.3541267064,10.979463569117392
Community area,Belmont Cragin,19,78151,-87.76550200,41.92727500,28400.0,56.166859559,28300.0,55.862994899,21300.0,42.188664001,4.516766398628918,57618.945106890686,15.140262208300731
Community area,West Ridge,2,77139,-87.69501700,42.00158300,32000.0,63.230142421,27500.0,54.774316502,19300.0,38.104136852,6.535238126411603,64316.29993100468,17.104954001024854
Community area,Hermosa,20,24127,-87.73474100,41.92435300,12500.0,50.002806262,13600.0,54.206493232,10600.0,42.405325528,5.502811081447311,59771.02980977841,13.676334474801996
Community area,Avondale,21,36245,-87.71121900,41.93867300,19900.0,70.664655237,14700.0,52.047227637,12800.0,45.522220652,5.67022392236355,82957.54745740935,12.85776249746079
Community area,Logan Square,22,71742,-87.69914900,41.92276800,43900.0,77.564645157,25900.0,45.775287421,23500.0,41.589327312,4.371680850134808,93904.05631214366,11.424640862353607
Community area,Humboldt Park,23,53832,-87.72091700,41.90008000,17300.0,46.543128779,16600.0,44.879460827,14600.0,39.375194051,10.489145566941502,47128.027168997854,25.007722593889522
Community area,West Town,24,87942,-87.67635800,41.90121600,46800.0,67.877569587,27800.0,40.268408779,26900.0,39.037723913,3.514941566960906,121913.4172513324,8.934674182243567
Community area,Austin,25,96753,-87.76311700,41.89411300,31800.0,41.461480672,35500.0,46.559784598,28200.0,36.933900693,14.504063658617126,43108.7724358938,25.99961530373207
Community area,West Garfield Park,26,17423,-87.73023300,41.87860200,4900.0,35.386325334,6800.0,48.919113784,4700.0,33.66071342,20.72445421862778,33213.63488864752,33.66537370893612
Community area,East Garfield Park,27,19995,-87.70589200,41.87892300,6200.0,40.948619534,6800.0,44.810191908,4100.0,27.041821888,17.157384615367555,30945.7925407353,40.427197340878806
Community area,Near West Side,28,67817,-87.66351300,41.87401600,26400.0,58.31915608,24900.0,55.432068125,16200.0,35.826238597,7.020788644030403,97636.08463790963,17.843367631779564
Community area,North Lawndale,29,34817,-87.71721800,41.86019700,9500.0,36.706889385,11800.0,47.194818432,9200.0,35.771578079,15.008267386229289,33607.88139967591,36.04467214542672
