Community Area,Primary Type,total_crimes
1,Arson,17
1,Assault,1415
1,Battery,3508
1,Burglary,686
1,Concealed Carry License Violation,1
1,Crim Sexual Assault,43
1,Criminal Damage,2206
1,Criminal Sexual Assault,108
1,Criminal Trespass,482
1,Deceptive Practice,1261
1,Gambling,2
1,Homicide,28
1,Human Trafficking,1
1,Interference With Public Officer,52
1,Intimidation,15
1,Kidnapping,4
1,Liquor Law Violation,12
1,Motor Vehicle Theft,665
1,Narcotics,319
1,Non-Criminal,1
1,Obscenity,7
1,Offense Involving Children,112
1,Other Narcotic Violation,2
1,Other Offense,1059
1,Prostitution,1
1,Public Indecency,1
1,Public Peace Violation,57
1,Robbery,674
1,Sex Offense,134
1,Stalking,34
1,Theft,5126
1,Weapons Violation,195
2,Arson,28
2,Assault,1213
2,Battery,2886
2,Burglary,915
2,Concealed Carry License Violation,3
2,Crim Sexual Assault,31
2,Criminal Damage,2133
2,Criminal Sexual Assault,60
2,Criminal Trespass,382
2,Deceptive Practice,1796
2,Gambling,2
2,Homicide,23
2,Interference With Public Officer,14
2,Intimidation,14
2,Kidnapping,10
2,Liquor Law Violation,25
2,Motor Vehicle Theft,849
2,Narcotics,227
2,Obscenity,9
2,Offense Involving Children,130
2,Other Offense,1029
2,Prostitution,1
2,Public Peace Violation,44
2,Robbery,555
2,Sex Offense,116
2,Stalking,20
2,Theft,4127
2,Weapons Violation,168
3,Arson,20
3,Assault,1397
3,Battery,3198
3,Burglary,624
3,Concealed Carry License Violation,6
3,Crim Sexual Assault,59
3,Criminal Damage,1521
3,Criminal Sexual Assault,121
3,Criminal Trespass,458
3,Deceptive Practice,1788
3,Gambling,2
3,Homicide,20
3,Interference With Public Officer,33
3,Intimidation,10
3,Kidnapping,3
3,Liquor Law Violation,4
3,Motor Vehicle Theft,626
3,Narcotics,213
3,Obscenity,5
3,Offense Involving Children,91
3,Other Narcotic Violation,1
3,Other Offense,939
3,Public Peace Violation,73
3,Robbery,496
3,Sex Offense,117
3,Stalking,21
3,Theft,4632
3,Weapons Violation,153
4,Arson,6
4,Assault,592
4,Battery,1499
4,Burglary,502
4,Concealed Carry License Violation,2
4,Crim Sexual Assault,26
4,Criminal Damage,1038
4,Criminal Sexual Assault,69
4,Criminal Trespass,261
4,Deceptive Practice,1025
4,Homicide,6
4,Interference With Public Officer,7
4,Intimidation,11
4,Kidnapping,3
4,Liquor Law Violation,14
4,Motor Vehicle Theft,365
4,Narcotics,101
4,Non-Criminal,1
4,Obscenity,2
4,Offense Involving Children,51
4,Other Offense,478
4,Prostitution,1
4,Public Peace Violation,22
4,Robbery,178
4,Sex Offense,56
4,Stalking,13
4,Theft,2759
4,Weapons Violation,46
5,Arson,9
5,Assault,331
5,Battery,601
5,Burglary,404
5,Crim Sexual Assault,8
5,Criminal Damage,613
5,Criminal Sexual Assault,22
5,Criminal Trespass,164
5,Deceptive Practice,819
5,Gambling,1
5,Homicide,6
5,Interference With Public Officer,10
5,Intimidation,5
5,Kidnapping,4
5,Liquor Law Violation,7
5,Motor Vehicle Theft,269
5,Narcotics,48
5,Non-Criminal,2
5,Obscenity,3
5,Offense Involving Children,27
5,Other Offense,304
5,Prostitution,2
5,Public Indecency,1
5,Public Peace Violation,28
5,Robbery,142
5,Sex Offense,36
5,Stalking,9
5,Theft,2062
5,Weapons Violation,28
6,Arson,29
6,Assault,1368
6,Battery,3453
6,Burglary,1153
6,Concealed Carry License Violation,12
6,Crim Sexual Assault,84
6,Criminal Damage,2086
6,Criminal Sexual Assault,159
6,Criminal Trespass,786
6,Deceptive Practice,3169
6,Homicide,8
6,Interference With Public Officer,30
6,Intimidation,32
6,Kidnapping,6
6,Liquor Law Violation,49
6,Motor Vehicle Theft,1234
6,Narcotics,131
6,Non-Criminal,1
6,Obscenity,8
6,Offense Involving Children,52
6,Other Offense,1019
6,Public Peace Violation,119
6,Robbery,919
6,Sex Offense,129
6,Stalking,38
6,Theft,9951
6,Weapons Violation,97
7,Arson,23
7,Assault,770
7,Battery,1602
7,Burglary,958
7,Concealed Carry License Violation,3
7,Crim Sexual Assault,28
7,Criminal Damage,1658
7,Criminal Sexual Assault,66
7,Criminal Trespass,428
7,Deceptive Practice,2070
7,Gambling,2
7,Homicide,6
7,Interference With Public Officer,5
7,Intimidation,11
7,Kidnapping,8
7,Liquor Law Violation,42
7,Motor Vehicle Theft,850
7,Narcotics,79
7,Obscenity,6
7,Offense Involving Children,27
7,Other Offense,557
7,Prostitution,1
7,Public Indecency,1
7,Public Peace Violation,65
7,Robbery,617
7,Sex Offense,111
7,Stalking,15
7,Theft,8112
7,Weapons Violation,93
8,Arson,20
8,Assault,2764
8,Battery,6775
8,Burglary,1107
8,Concealed Carry License Violation,15
8,Crim Sexual Assault,112
8,Criminal Damage,2785
8,Criminal Sexual Assault,386
8,Criminal Trespass,1605
8,Deceptive Practice,6561
8,Gambling,5
8,Homicide,40
8,Human Trafficking,2
8,Interference With Public Officer,124
8,Intimidation,40
8,Kidnapping,14
8,Liquor Law Violation,110
8,Motor Vehicle Theft,2049
8,Narcotics,555
8,Non-Criminal,3
8,Obscenity,7
8,Offense Involving Children,125
8,Other Narcotic Violation,1
8,Other Offense,1620
8,Prostitution,5
8,Public Indecency,1
8,Public Peace Violation,265
8,Robbery,1728
8,Sex Offense,244
8,Stalking,67
8,Theft,20887
8,Weapons Violation,798
9,Arson,2
9,Assault,84
9,Battery,225
9,Burglary,65
9,Crim Sexual Assault,1
9,Criminal Damage,129
9,Criminal Sexual Assault,7
9,Criminal Trespass,51
9,Deceptive Practice,273
9,Gambling,1
9,Homicide,3
9,Intimidation,4
9,Liquor Law Violation,1
9,Motor Vehicle Theft,51
9,Narcotics,4
9,Offense Involving Children,17
9,Other Offense,109
9,Public Peace Violation,6
9,Robbery,5
9,Sex Offense,9
9,Stalking,3
9,Theft,253
9,Weapons Violation,2
10,Arson,19
10,Assault,411
10,Battery,862
10,Burglary,295
10,Crim Sexual Assault,10
10,Criminal Damage,606
10,Criminal Sexual Assault,17
10,Criminal Trespass,187
10,Deceptive Practice,1008
10,Homicide,2
10,Interference With Public Officer,8
10,Intimidation,5
10,Kidnapping,9
10,Liquor Law Violation,2
10,Motor Vehicle Theft,203
10,Narcotics,46
10,Non-Criminal,2
10,Obscenity,1
10,Offense Involving Children,44
10,Other Offense,446
10,Prostitution,1
10,Public Peace Violation,17
10,Robbery,76
10,Sex Offense,38
10,Stalking,10
10,Theft,1376
10,Weapons Violation,19
11,Arson,8
11,Assault,377
11,Battery,747
11,Burglary,224
11,Concealed Carry License Violation,1
11,Crim Sexual Assault,7
11,Criminal Damage,535
11,Criminal Sexual Assault,18
11,Criminal Trespass,151
11,Deceptive Practice,667
11,Homicide,2
11,Human Trafficking,2
11,Interference With Public Officer,8
11,Intimidation,5
11,Kidnapping,3
11,Liquor Law Violation,8
11,Motor Vehicle Theft,218
11,Narcotics,55
11,Obscenity,4
11,Offense Involving Children,33
11,Other Narcotic Violation,2
11,Other Offense,401
11,Public Peace Violation,22
11,Robbery,81
11,Sex Offense,34
11,Stalking,15
11,Theft,1249
11,Weapons Violation,18
12,Arson,1
12,Assault,175
12,Battery,266
12,Burglary,215
12,Crim Sexual Assault,2
12,Criminal Damage,266
12,Criminal Sexual Assault,9
12,Criminal Trespass,94
12,Deceptive Practice,551
12,Interference With Public Officer,3
12,Intimidation,1
12,Kidnapping,1
12,Motor Vehicle Theft,106
12,Narcotics,15
12,Obscenity,1
12,Offense Involving Children,16
12,Other Offense,152
12,Public Peace Violation,8
12,Robbery,20
12,Sex Offense,11
12,Stalking,8
12,Theft,604
12,Weapons Violation,22
13,Arson,5
13,Assault,315
13,Battery,633
13,Burglary,221
13,Crim Sexual Assault,13
13,Criminal Damage,477
13,Criminal Sexual Assault,18
13,Criminal Trespass,108
13,Deceptive Practice,487
13,Gambling,2
13,Homicide,7
13,Human Trafficking,1
13,Interference With Public Officer,1
13,Intimidation,3
13,Liquor Law Violation,6
13,Motor Vehicle Theft,213
13,Narcotics,42
13,Non-Criminal,1
13,Offense Involving Children,40
13,Other Offense,255
13,Prostitution,1
13,Public Peace Violation,12
13,Robbery,96
13,Sex Offense,27
13,Stalking,5
13,Theft,1157
13,Weapons Violation,45
14,Arson,13
14,Assault,828
14,Battery,1958
14,Burglary,503
14,Concealed Carry License Violation,2
14,Crim Sexual Assault,16
14,Criminal Damage,1480
14,Criminal Sexual Assault,66
14,Criminal Trespass,210
14,Deceptive Practice,701
14,Gambling,1
14,Homicide,20
14,Human Trafficking,1
14,Interference With Public Officer,15
14,Intimidation,10
14,Kidnapping,5
14,Liquor Law Violation,13
14,Motor Vehicle Theft,544
14,Narcotics,219
14,Non-Criminal,1
14,Obscenity,3
14,Offense Involving Children,98
14,Other Offense,654
14,Prostitution,7
14,Public Peace Violation,39
14,Robbery,394
14,Sex Offense,62
14,Stalking,10
14,Theft,2455
14,Weapons Violation,219
15,Arson,39
15,Assault,1222
15,Battery,2617
15,Burglary,699
15,Concealed Carry License Violation,5
15,Crim Sexual Assault,31
15,Criminal Damage,1706
15,Criminal Sexual Assault,52
15,Criminal Trespass,295
15,Deceptive Practice,1333
15,Homicide,16
15,Human Trafficking,3
15,Interference With Public Officer,19
15,Intimidation,20
15,Kidnapping,14
15,Liquor Law Violation,27
15,Motor Vehicle Theft,714
15,Narcotics,210
15,Non-Criminal,1
15,Obscenity,6
15,Offense Involving Children,158
15,Other Narcotic Violation,2
15,Other Offense,1104
15,Prostitution,2
15,Public Peace Violation,49
15,Robbery,325
15,Sex Offense,91
15,Stalking,20
15,Theft,3115
15,Weapons Violation,190
16,Arson,23
16,Assault,901
16,Battery,2094
16,Burglary,633
16,Concealed Carry License Violation,3
16,Crim Sexual Assault,19
16,Criminal Damage,1551
16,Criminal Sexual Assault,53
16,Criminal Trespass,222
16,Deceptive Practice,1024
16,Gambling,2
16,Homicide,10
16,Interference With Public Officer,8
16,Intimidation,10
16,Kidnapping,6
16,Liquor Law Violation,13
16,Motor Vehicle Theft,644
16,Narcotics,205
16,Obscenity,8
16,Offense Involving Children,106
16,Other Narcotic Violation,1
16,Other Offense,836
16,Prostitution,2
16,Public Peace Violation,30
16,Robbery,345
16,Sex Offense,73
16,Stalking,14
16,Theft,3189
16,Weapons Violation,173
17,Arson,23
17,Assault,591
17,Battery,1329
17,Burglary,418
17,Concealed Carry License Violation,2
17,Crim Sexual Assault,14
17,Criminal Damage,884
17,Criminal Sexual Assault,19
17,Criminal Trespass,148
17,Deceptive Practice,965
17,Gambling,1
17,Homicide,13
17,Interference With Public Officer,5
17,Intimidation,9
17,Kidnapping,7
17,Liquor Law Violation,9
17,Motor Vehicle Theft,331
17,Narcotics,73
17,Obscenity,3
17,Offense Involving Children,66
17,Other Offense,705
17,Prostitution,1
17,Public Indecency,1
17,Public Peace Violation,17
17,Robbery,84
17,Sex Offense,52
17,Stalking,8
17,Theft,1345
17,Weapons Violation,74
18,Arson,9
18,Assault,222
18,Battery,526
18,Burglary,124
18,Concealed Carry License Violation,1
18,Crim Sexual Assault,3
18,Criminal Damage,366
