organization,address,zip,main_phone,hours,payment,age_range_served,other_languages,behavioral_services_types,crisis_services,grief_services_availability,location
A Beautiful Mind,"5113 S. Harper Ave., Suite 2C",60615,773-304-3699,Weekdays: Monday - Friday 8am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Assertive Community Treatment; Behavioral Health Consulting;Case Management/Care Coordination; Individual Psychotherapy - short term; Individual Psychotherapy - long term; Group Therapy or Support Groups; Family Psychotherapy; Psychiatry; Psychological Testing;,FALSE,TRUE,POINT (-87.589108431 41.802223712)
Access Community Health Network - Ashland Family Health Center,5159 S. Ashland Ave.,60609,773-434-9216,Weekdays: Monday 8am - 6pm; Tuesday - Friday 7:30am - 5:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.664571722 41.800269243)
Access Community Health Network - Auburn Gresham Family Health Center,8234 S. Ashland Ave.,60620,773-874-1400,Weekends: Saturday 9am - 1pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;Older than 64 years old;25-64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.663657017 41.743809004)
Access Community Health Network - Austin Family Health Center,"4909 W. Division St., Suite 508",60651,773-364-4600,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.749253012 41.902004016)
Access Community Health Network - Booker Family Health Center,654 E. 47th St.,60653,773-624-4800,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.609246982 41.809703001)
Access Community Health Network - Brandon Family Health Center,2822 E. 83rd St.,60617,773-721-7600,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.55544465 41.744653072)
Access Community Health Network - Brickyard Family Health Center,"6020 W. Diversey Ave., Building West",60639,773-237-5544,Weekends: Saturday 9am - 1pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.77674599 41.931372989)
Access Community Health Network - Cabrini Family Health Center,3450 S. Archer Ave.,60608,773-523-1000,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.676604962 41.831349014)
Access Community Health Network - Centro Medico,3700 W. 26th St.,60623,773-542-5203,Weekdays: Saturday 9am - 1pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.717581991 41.844516984)
Access Community Health Network - Centro Medico San Rafael,3204 W. 26th St.,60623,773-927-3100,Weekdays: Monday - Friday 8am - 6pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.705381041 41.844724017)
